Date,Open,High,Low,Close,Adj Close,Volume
2001-01-03,47100.000000,47950.000000,46600.000000,47600.000000,37517.621094,105500
2001-01-04,50400.000000,50400.000000,48800.000000,49400.000000,38936.359375,432100
2001-01-05,49400.000000,52500.000000,48950.000000,51500.000000,40591.554688,517500
2001-01-08,50900.000000,51900.000000,50400.000000,51500.000000,40591.554688,188200
2001-01-09,51000.000000,53900.000000,50500.000000,52900.000000,41695.007813,348200
2001-01-10,52000.000000,53400.000000,48000.000000,48000.000000,37832.898438,352000
2001-01-11,51900.000000,54000.000000,50500.000000,52500.000000,41379.742188,757000
2001-01-12,53900.000000,57900.000000,53700.000000,57400.000000,45241.847656,498500
2001-01-15,58600.000000,62100.000000,57600.000000,59900.000000,47212.312500,877900
2001-01-16,60100.000000,60600.000000,59100.000000,60100.000000,47369.953125,368600
2001-01-17,59200.000000,61800.000000,58000.000000,60300.000000,47527.582031,456800
2001-01-18,61000.000000,61400.000000,59600.000000,60500.000000,47685.218750,469500
2001-01-19,61000.000000,62700.000000,60600.000000,62000.000000,48867.496094,733000
2001-01-22,62500.000000,62900.000000,61100.000000,62800.000000,49498.050781,233200
2001-01-23,62800.000000,62800.000000,62800.000000,62800.000000,49498.050781,0
2001-01-24,62800.000000,62800.000000,62800.000000,62800.000000,49498.050781,0
2001-01-25,62800.000000,62800.000000,62800.000000,62800.000000,49498.050781,0
2001-01-26,61500.000000,61900.000000,58000.000000,58000.000000,45714.761719,218800
2001-01-29,56000.000000,60300.000000,56000.000000,59700.000000,47054.675781,253900
2001-01-30,61000.000000,61000.000000,59100.000000,60000.000000,47291.132813,193600
2001-01-31,60800.000000,60800.000000,59600.000000,60500.000000,47685.218750,126700
2001-02-01,60000.000000,60600.000000,59000.000000,59000.000000,46502.941406,122200
2001-02-02,59900.000000,59900.000000,58200.000000,59500.000000,46897.031250,235900
2001-02-05,57500.000000,59100.000000,57200.000000,58900.000000,46424.125000,149000
2001-02-06,58900.000000,60000.000000,58400.000000,60000.000000,47291.132813,119000
2001-02-07,60000.000000,60300.000000,58500.000000,59900.000000,47212.312500,143900
2001-02-08,59900.000000,61900.000000,59900.000000,61600.000000,48552.230469,221500
2001-02-09,61000.000000,64200.000000,60500.000000,63800.000000,50286.238281,394800
2001-02-12,63200.000000,65700.000000,63000.000000,65600.000000,51704.972656,422000
2001-02-13,65900.000000,65900.000000,64700.000000,65300.000000,51468.511719,245000
2001-02-14,65300.000000,67500.000000,65000.000000,66500.000000,52414.332031,237700
2001-02-15,68000.000000,68800.000000,66800.000000,67500.000000,53202.519531,241100
2001-02-16,67700.000000,67700.000000,65600.000000,66000.000000,52020.242188,245800
2001-02-19,66000.000000,66000.000000,64300.000000,65900.000000,51941.429688,164500
2001-02-20,65900.000000,67900.000000,65300.000000,67900.000000,53517.785156,224400
2001-02-21,67100.000000,68500.000000,66100.000000,66100.000000,52099.050781,192700
2001-02-22,65200.000000,67900.000000,64000.000000,67800.000000,53438.976563,411000
2001-02-23,67800.000000,70000.000000,67800.000000,69400.000000,54700.082031,482600
2001-02-26,69900.000000,70100.000000,69100.000000,69400.000000,54700.082031,176300
2001-02-27,70000.000000,70200.000000,66600.000000,68300.000000,53833.066406,144900
2001-02-28,67600.000000,67600.000000,64000.000000,64100.000000,50522.687500,427000
2001-03-01,64100.000000,64100.000000,64100.000000,64100.000000,50522.687500,0
2001-03-02,64000.000000,64000.000000,60900.000000,62000.000000,48867.496094,271300
2001-03-05,61000.000000,64400.000000,61000.000000,63500.000000,50049.781250,136600
2001-03-06,62600.000000,63400.000000,62100.000000,63000.000000,49655.695313,252300
2001-03-07,63200.000000,64900.000000,63000.000000,64500.000000,50837.960938,265100
2001-03-08,65700.000000,65700.000000,63800.000000,65400.000000,51547.332031,169000
2001-03-09,64900.000000,65800.000000,63900.000000,64400.000000,50759.136719,193900
2001-03-12,61500.000000,63200.000000,61200.000000,61700.000000,48631.042969,197200
2001-03-13,58700.000000,60500.000000,57900.000000,60000.000000,47291.132813,263500
2001-03-14,60000.000000,60000.000000,60000.000000,60000.000000,47291.132813,0
2001-03-15,59500.000000,62500.000000,58000.000000,62500.000000,49261.589844,163100
2001-03-16,62000.000000,62600.000000,61100.000000,62600.000000,49340.410156,82600
2001-03-19,62000.000000,63300.000000,60500.000000,61200.000000,48236.953125,124800
2001-03-20,62900.000000,63400.000000,61700.000000,62900.000000,49576.863281,181400
2001-03-21,62400.000000,65500.000000,62000.000000,65000.000000,51232.054688,311100
2001-03-22,64000.000000,65200.000000,63700.000000,65000.000000,51232.054688,269100
2001-03-23,65000.000000,66400.000000,64700.000000,65000.000000,51232.054688,207500
2001-03-26,66500.000000,67200.000000,65700.000000,67100.000000,52887.246094,305600
2001-03-27,66800.000000,67000.000000,64000.000000,64000.000000,50443.875000,174600
2001-03-28,64000.000000,64500.000000,62300.000000,62300.000000,49103.945313,259100
2001-03-29,60700.000000,61900.000000,57700.000000,58200.000000,45872.390625,533600
2001-03-30,55600.000000,57000.000000,52300.000000,54000.000000,42562.007813,820800
2001-04-02,54000.000000,55700.000000,52600.000000,55100.000000,43429.019531,379500
2001-04-03,54000.000000,55500.000000,53700.000000,55400.000000,43665.468750,237600
2001-04-04,54000.000000,55300.000000,53100.000000,53800.000000,42404.378906,287000
2001-04-05,53800.000000,53800.000000,53800.000000,53800.000000,42404.378906,0
2001-04-06,58800.000000,58800.000000,53900.000000,54000.000000,42562.007813,366000
2001-04-09,53800.000000,54800.000000,52900.000000,52900.000000,41695.007813,109700
2001-04-10,54700.000000,54700.000000,51100.000000,51500.000000,40591.554688,156500
2001-04-11,52600.000000,52700.000000,50600.000000,51400.000000,40512.738281,295000
2001-04-12,51800.000000,53500.000000,51000.000000,53100.000000,41852.640625,314600
2001-04-13,53500.000000,53600.000000,52000.000000,52700.000000,41537.375000,116400
2001-04-16,53000.000000,53000.000000,52200.000000,52600.000000,41458.562500,98400
2001-04-17,52700.000000,53500.000000,52400.000000,52400.000000,41300.914063,124700
2001-04-18,52700.000000,55000.000000,52500.000000,54800.000000,43192.562500,354900
2001-04-19,57400.000000,59700.000000,56800.000000,57200.000000,45084.203125,711500
2001-04-20,57000.000000,57900.000000,56500.000000,57000.000000,44926.566406,288300
2001-04-23,57700.000000,58300.000000,56500.000000,56900.000000,44847.750000,188000
2001-04-24,56000.000000,56700.000000,54200.000000,54800.000000,43192.562500,440400
2001-04-25,54800.000000,56200.000000,54500.000000,54800.000000,43192.562500,241000
2001-04-26,54800.000000,56200.000000,54500.000000,54800.000000,43192.562500,241000
